{ _pinturaperfis   // Cor Pintura Perfil
   *AZZERA*            =0
   DESCRIZIONE         =Cor Pintura Perfil
   ALIAS               =
   OBBLIGATO           =False
   CLASSE              =^3;6;120;120;3,7;#FOTO\MADEIRA\;2;3;;;1;
   MEMO                =1Código 1800Descrição 5250Preview 4725material base 2115cod pintura 1200LITRO PINTURA POR ML 3225rgb 1200COLUNA 6 = QUANTIDADE EM LITROS DE ACORDO COM METRO LINEAR UTILIZADO

   { 
      //       ,Descrição        ,Preview                           ,mate,cod pi,LITRO ,rgb
      005.1101 ,0540 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,251;232;126
      005.1102 ,0540 R           ,001.jpg                           ,4   ,4458  ,0.002 ,253;162;162
      005.1103 ,0540 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,250;162;175
      005.1104 ,0540 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,244;164;186
      005.1105 ,0540 R30B        ,001.jpg                           ,4   ,4458  ,0.002 ,242;168;202
      005.1106 ,0540 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,137;192;233
      005.1107 ,0540 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,255;229;130
      005.1108 ,0540 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;217;125
      005.1109 ,0540 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;207;120
      005.111  ,0540 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;194;119
      005.1110 ,0540 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;182;120
      005.1111 ,0540 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;178;126
      005.1112 ,0540 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;170;130
      005.1113 ,0540 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;165;135
      005.1114 ,0540 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;165;147
      005.1115 ,0540 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,254;162;153
      005.1116 ,0550 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,129;217;150
      005.1117 ,0550 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,146;215;139
      005.1118 ,0550 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,165;215;126
      005.1119 ,0550 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,187;221;117
      005.112  ,0550 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,200;222;110
      005.1120 ,0550 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,216;229;107
      005.1121 ,0550 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,228;232;106
      005.1122 ,0550 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,233;227;99
      005.1123 ,0550 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,244;224;100
      005.1124 ,0550 R           ,001.jpg                           ,4   ,4458  ,0.002 ,245;136;139
      005.1125 ,0550 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,244;140;156
      005.1126 ,0550 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,249;218;98
      005.1127 ,0550 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;213;100
